Location,North,South,East,West
A Lot,"43.142441, -70.936186","43.138923, -70.936364","43.140700, -70.936282","43.141328, -70.937928"
Nesmith Hall,"43.138649, -70.935002","43.138366, -70.935208","43.138218, -70.934595","43.138919, -70.936210"
New Hampshire Hall,"43.138085, -70.934001","43.137895, -70.934115","43.137794, -70.933788","43.138207, -70.934560"
Edgewood Visitors Lot,"43.137914, -70.933465","43.137485, -70.933784","43.137515, -70.933329","43.137758, -70.933834"
Congreve,"43.137251, -70.932599","43.136772, -70.932832","43.136843, -70.932254","43.137482, -70.933482"
DeMerritt,"43.136743, -70.932896","43.136366, -70.933921","43.136489, -70.932909","43.137094, -70.933985"
Conant Hall,"43.136334, -70.934063","43.135824, -70.934495","43.135877, -70.933820","43.135975, -70.934727"
Spaulding,"43.135808, -70.934516","43.135320, -70.934867","43.135356, -70.934227","43.135486, -70.935093"
Kingsbury,"43.135265, -70.934943","43.134432, -70.935284","43.134673, -70.934151","43.134962, -70.935546"
Parsons,"43.134434, -70.933290","43.133458, -70.933473","43.133573, -70.932531","43.134337, -70.933925"
Horton,"43.133600, -70.932157","43.133145, -70.932443","43.133278, -70.931945","43.133469, -70.932544"
B Lot,"43.133209, -70.931482","43.131764, -70.931726","43.132511, -70.931028","43.133109, -70.931971"
Lower Quad,"43.133419, -70.929901","43.132310, -70.930753","43.132656, -70.929859","43.132508, -70.930948"
MUB,"43.134415, -70.929127","43.133507, -70.929727","43.133955, -70.928850","43.134097, -70.929756"
Holloway Commons,"43.135499, -70.928892","43.134545, -70.929128","43.134968, -70.928572","43.135023, -70.929446"
Health Services,"43.136226, -70.928968","43.135534, -70.928836","43.135959, -70.928294","43.136032, -70.929461"
Paul College,"43.136947, -70.929467","43.136243, -70.929018","43.136563, -70.928608","43.136494, -70.929816"
Smith Hall,"43.136791, -70.930545","43.136448, -70.930310","43.136638, -70.929939","43.136555, -70.930669"
Thompson Hall,"43.137095, -70.931699","43.136030, -70.932007","43.136393, -70.930753","43.136828, -70.932113"
